"Project_no","Project.Title","Keyword","Keyword_hit"
"ERO_1117","microbial synthesis of l‐dopa from waste pet","waste","1"
"ERO_1118","compost:  composing and re-using reliable models to reduce data waste in life sciences","waste","1"
"ERO_1119","methodology for the detection of new variants of sars-cov-2 in wastewater","waste","1"
"ERO_1120","methodology for the detection of new variants of sars-cov-2 in wastewater","waste","1"
"ERO_1121","study of plastic biodegrading microorganisms as a solution to the plastic waste crisis","waste","1"
"ERO_1122","recycling aerospace waste for high end products and filaments","waste","1"
"ERO_1123","membrane-assisted simultaneous capture and catalytic abatement of n2o and ch4 from waste water  treatment plant emissions","waste","1"
"ERO_1124","repairing behaviours -- object biographies and agencies informing waste reduction amongst consumers through repair services and practices.","waste","1"
"ERO_1125","biochar production from scottish forestry waste","waste","1"
"ERO_1126","biochar production from scottish forestry waste","waste","1"
"ERO_1127","engineering in-situ elimination of microplastics from municipal wastewaters","waste","1"
"ERO_1128","electromagnetically supported wastewater treatment of organic pollutants","waste","1"
"ERO_1129","manufacturing  value-added  composites for the construction sectorusing mixed waste plastics and wasteglass fibres","waste","1"
"ERO_1130","sustainable microbial manufacture of adipic acid from industrial and post-consumer waste","waste","1"
"ERO_1131","a chemo-enzymatic approach to the bio-production of a nylon precursor from waste feedstocks in engineered escherichia coli","waste","1"
"ERO_1132","microbial gas consumption processes in the gdf safety case for low heat generating wastes","waste","1"
"ERO_1133","bioix: zero-waste manufacturing of biorenewable ion exchange resins","waste","1"
"ERO_1134","bioix: zero-waste manufacturing of biorenewable ion exchange resins","waste","1"
"ERO_1135","squaring the circular economy: accelerating negative co2 emissions in the waste to energy sector with ccs","waste","1"
"ERO_1136","microbial production of hydroquinone from waste feedstocks","waste","1"
"ERO_1137","waste valorisation for electroceramic and functional devices: wavefunction","waste","1"
"ERO_1138","application of smart hybrid graphene/graphene oxide based materials (shygos) and advanced latp/functionalized graphene nanostructured membranes (ad-latp-fg) in waste recycling and natural resource management","waste","1"
"ERO_1139","a hybrid chemo-enzymatic approach to the sustainable synthesis of nonanol fragrances from fatberg derived waste in escherichia coli","waste","1"
"ERO_1140","brain microvascular integrity and waste drainage in neurodegenerative diseases: physics and engineering to unravel complex biology","waste","1"
"ERO_1141","brain microvascular integrity and waste drainage in neurodegenerative diseases: physics and engineering to unravel complex biology","waste","1"
"ERO_1142","surigate  evaluating sars-cov-2 burden in urban and rural communities in india and uganda:  a seroprevalence and wastewater-based epidemiological analysis","waste","1"
"ERO_1143","nutrition & value addition: valorising non-edible food waste","waste","1"
"ERO_1144","resilience to urban flood in south-east asia (ruf-sea): sustainable development of pervious pavement systems from wastes in vietnam and philippines","waste","1"
"ERO_1145","resilience to urban flood in south-east asia (ruf-sea): sustainable development of pervious pavement systems from wastes in vietnam and philippines","waste","1"
"ERO_1146","chemical innovation in the recycling of electronic waste (circle)","waste","1"
"ERO_1147","evaluation of fish waste as a novel feedstock for the bio-production of adipic acid in escherichia coli","waste","1"
"ERO_1148","intellidigest: enzymatically converting food waste into circular chemicals for manufacturing biodegradable materials","waste","1"
"ERO_1149","disentangle the water-energy nexus by using waste heat for water purification","waste","1"
"ERO_1150","catalysis for compatibilizers: upcycling plastic waste into value-added materials","waste","1"
"ERO_1151","novel photochemical methods: from waste gases valorisation to biodegradable polymers and bioconjugation","waste","1"
"ERO_1152","pyroprocessing & processing of pyro waste","waste","1"
"ERO_1153","switchable catalysis for block copolymer compatibilization of plastic waste","waste","1"
"ERO_1154","wastewater epidemiology and infectivity of sars-cov-2 (welies","waste","1"
"ERO_1155","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","waste","1"
"ERO_1156","addressing viri, microplastics and antimicrobial resistance at wastewater treatment plants","waste","1"
"ERO_1157","novel process for efficient bio-methanisation of waste-derived syngas","waste","1"
"ERO_1158","using machine learning to assess the microbial health of wastewater","waste","1"
"ERO_1159","impact of antimicrobial manufacturing waste in the emergence of amr in humans and animals, and frugal detection technologies for in-field monitoring","waste","1"
"ERO_1160","impact of antimicrobial manufacturing waste in the emergence of amr in humans and animals, and frugal detection technologies for in-field monitoring","waste","1"
"ERO_1161","tracking sars-cov 2 via municipal wastewater","waste","1"
"ERO_1162","waste plastic recycling","waste","1"
"ERO_1163","reimagining british waste landscapes - jonathan gardner","waste","1"
"ERO_1164","demonstrating the impact of antibiotic manufacturing waste on human health in india (diamhi)","waste","1"
"ERO_1165","demonstrating the impact of antibiotic manufacturing waste on human health in india (diamhi)","waste","1"
"ERO_1166","demonstrating the impact of antibiotic manufacturing waste on human health in india (diamhi)","waste","1"
"ERO_1167","hvc from waste fats, oils and greases using enzymatic routes","waste","1"
"ERO_1168","negative emission in the waste to energy sector: technologies for ccs","waste","1"
"ERO_1169","negative emission in the waste to energy sector: technologies for ccs","waste","1"
"ERO_1170","novel photochemical methods: from waste gases valorisation to alcohol/amine activation and bioconjugation","waste","1"
"ERO_1171","novel photochemical methods: from waste gases valorisation to biodegradable polymers and bioconjugation","waste","1"
"ERO_1172","chemical recycling of electronic waste for sustainable livelihoods and material consumption in india","waste","1"
"ERO_1173","metabolic engineering of yarrowia lipolytica to produce an advanced biofuel from cellulose and plant wastes","waste","1"
"ERO_1174","harnessing ‘waste’ biomass to make modified cellulose with valuable rheological properties","waste","1"
"ERO_1175","electrochemical synthesis of cu-based nano-electrocatalysts from electronic waste for photo-electrochemical water splitting","waste","1"
"ERO_1176","transforming styrofoam waste into triggered release adsorbents for environmental remediation (styrobent)","waste","1"
"ERO_1177","development of low cost and effective photocatalysts for the treatment and re-use of wastewater","waste","1"
"ERO_1178","resource recovery from chitosan and ragworms bioremediation of waste","waste","1"
"ERO_1179","reduction of landfill gas and leachate pollution from solid waste landfill via implementation of 2-dimensional nanomaterial mixed matrix membranes (mmms) to foster a green and sustainable environment","waste","1"
"ERO_1180","bio-waste to biochar for the enhanced remediation of contaminated land (bio2char)","waste","1"
